TABLE_CATALOG;TABLE_SCHEMA;TABLE_NAME;TABLE_TYPE
eds70;dbo;TMP_USRLOG_DELL_SERVIDOR_20221111071246;BASE TABLE
eds70;dbo;TMP_USRLOG_DELL_SERVIDOR_20221117080413;BASE TABLE
eds70;dbo;TMP_USRLOG_DELL_SERVIDOR_20221117170948;BASE TABLE
eds70;dbo;TMP_USRLOG_DELL_SERVIDOR_20221124111336;BASE TABLE
eds70;dbo;TMP_USRLOG_DELL_SERVIDOR_20231123133224;BASE TABLE
eds70;dbo;TMP_USRLOG_INSPIRON_1525_20211011120634;BASE TABLE
eds70;dbo;TMP_USRLOG_INSPIRON_20220315180154;BASE TABLE
eds70;dbo;TMP_USRLOG_INSPIRON_20220413090026;BASE TABLE
eds70;dbo;TMP_USRLOG_INSPIRON_20220419095840;BASE TABLE
eds70;dbo;TMP_USRLOG_INSPIRON_20221110093615;BASE TABLE
eds70;dbo;TRATAMENTO;BASE TABLE
eds70;dbo;TRATAMENTO_COMISSAO;BASE TABLE
eds70;dbo;UNIDADE;BASE TABLE
eds70;dbo;USRLOG;BASE TABLE
eds70;dbo;USUARIO;BASE TABLE
eds70;dbo;USUARIO_FUNCAO;BASE TABLE
eds70;dbo;USUARIO_MODULO;BASE TABLE
eds70;dbo;USUARIO_PERFIL;BASE TABLE
eds70;dbo;VW_RPT_EMAIL;VIEW
eds70;dbo;VW_RPT_MSG_CONVENIO;VIEW
eds70;dbo;VW_TISS_GUIA_COB;VIEW
eds70;dbo;VW_TISS_GUIA_COB_ITEM;VIEW
eds70;dbo;VW_TISS_GUIA_SOL;VIEW
eds70;dbo;VW_TISS_GUIA_SOL_ITEM;VIEW
